id,title,subtitle,author,publication,published_date,read_time_mins,claps,url,skills,data_skills
6e5d90bd3552,Airflow: Command Line Interface (CLI) Cheat Sheet,"How to quickly deploy, diagnose, and evaluate your…",Juan Nathaniel,Level Up Coding,12/09/2021,4,110,https://levelup.gitconnected.com/airflow-command-line-interface-cli-cheat-sheet-6e5d90bd3552,,
241c4f615990,Skills of a Data Engineer,"Once upon a time, there used to be two species: software engineers and data management folks. They coexisted…",Guha Ayan,Slalom Australia,13/09/2021,10,121,https://medium.com/slalom-australia/skills-of-a-data-engineer-241c4f615990,Data Management,
de07d8945b01,Google Cloud Functions — A Brief Tutorial,Extracting data loaded from Cloud Storage to BigQuery with Cloud Functions,Lucas de Sá,Geek Culture,13/09/2021,5,261,https://medium.com/geekculture/google-cloud-functions-a-brief-tutorial-de07d8945b01,Cloud Storage; Google BigQuery; Google Cloud Platform (GCP),
783f113bab56,How Postman Fixed a Missing Layer in Our Data Stack,What worked and what didn’t in modernizing and…,Prudhvi Vasa,Towards Data Science,14/09/2021,8,169,https://towardsdatascience.com/how-postman-fixed-a-missing-layer-in-our-data-stack-783f113bab56,,
e17e5a377e99,A Paved Road for Data Pipelines: Part 2,"Over the past year, we’ve made substantial progress in…",Seshu Adunuthula,Intuit Engineering,15/09/2021,8,109,https://medium.com/intuit-engineering/a-paved-road-for-data-pipelines-part-2-e17e5a377e99,Data Pipeline,
181b9241517a,"Think BIG, think BIG DATA!","Over the past years, the amount of data generated has increased exponentially.",Clifford Frempong,,15/09/2021,4,377,https://medium.com/@clifflolo/think-big-think-big-data-181b9241517a,Big Data,
38148fc391,Investigating a network issue encountered with Kafka on AWS,TL;DR we ended up tuning the ARP cache on…,Louis Fruleux,Teads Engineering,16/09/2021,6,211,https://medium.com/teads-engineering/investigating-a-network-issue-encountered-with-kafka-on-aws-38148fc391,Amazon Web Service (AWS); Apache Kafka; Network,
8fbce5d2f34a,Data Quality: Anomaly Detections that Work with ThirdEye,Building an anomaly detection system is like…,Cyril de Catheu,,17/09/2021,9,208,https://medium.com/@cdecatheu/data-quality-anomaly-detections-that-work-with-thirdeye-8fbce5d2f34a,Anomaly Detection,
8d2d73979453,Transitioning fields within Tech,Getting my first job as a software developer was only step one in my…,Jessica Greene,,19/09/2021,5,104,https://medium.com/@jessica0greene/transitioning-fields-within-tech-8d2d73979453,,
3943402e8e59,8 Common Mistakes When Using AWS ECS to Manage Containers,Including AWS best practices to avoid them,Anna Geller,AWS in Plain English,20/09/2021,10,212,https://aws.plainenglish.io/8-common-mistakes-when-using-aws-ecs-to-manage-containers-3943402e8e59,Amazon Web Service (AWS),
64f7f6d2f244,Apache Kafka: Distributed Event Streaming Platform,An introduction for beginners to Kafka,Manthan Gupta,TheLeanProgrammer,20/09/2021,4,307,https://medium.com/theleanprogrammer/apache-kafka-distributed-event-streaming-platform-64f7f6d2f244,Apache Kafka; Platform; Streaming,
c1dce5d394c5,Treating data as a product at Adevinta,A deep dive into how our teams implemented one of the data mesh…,Xavier Gumara Rigol,Adevinta Tech Blog,21/09/2021,9,189,https://medium.com/adevinta-tech-blog/treating-data-as-a-product-at-adevinta-c1dce5d394c5,,
